epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2953.75,1.06996,1.85833,1.05769,1.18268,0.75145,0.69511,0.75584,0.51486,0.72229,0.6655,0.70161,0.40443,1.1017,1.8031,1.10635,1.25656,0.000604,0.000604,0.000604
42,3026.13,1.0795,1.87723,1.05846,1.18798,0.78706,0.66816,0.74036,0.50835,0.76491,0.65818,0.69599,0.40729,1.12299,1.70355,1.12966,1.25538,0.0005941,0.0005941,0.0005941
43,3099.04,1.07256,1.84639,1.04091,1.18404,0.78757,0.7031,0.76801,0.52376,0.79112,0.68082,0.73654,0.43627,1.10221,1.69995,1.07044,1.25482,0.0005842,0.0005842,0.0005842
44,3172.77,1.07209,1.83046,1.03069,1.17508,0.79409,0.72627,0.78286,0.53518,0.7815,0.69499,0.72471,0.42107,1.09174,1.74941,1.01404,1.24799,0.0005743,0.0005743,0.0005743
45,3245.49,1.06078,1.81369,1.02719,1.1752,0.73999,0.68638,0.74341,0.50813,0.71851,0.6665,0.69352,0.40313,1.11681,1.77049,1.08219,1.24444,0.0005644,0.0005644,0.0005644
46,3318.71,1.05134,1.80719,1.01974,1.17448,0.79317,0.71504,0.78536,0.52799,0.76422,0.67625,0.72057,0.43092,1.13907,1.79719,1.03677,1.2663,0.0005545,0.0005545,0.0005545
47,3392.4,1.04552,1.79395,1.00919,1.16648,0.77023,0.72146,0.7632,0.53684,0.74476,0.69415,0.71158,0.41972,1.09877,1.69276,1.04221,1.25027,0.0005446,0.0005446,0.0005446
48,3464.51,1.04311,1.78893,0.99219,1.16555,0.83809,0.67676,0.77773,0.53365,0.80288,0.66112,0.72825,0.42248,1.10928,1.72751,1.03086,1.24954,0.0005347,0.0005347,0.0005347
49,3537.29,1.03302,1.77154,0.99273,1.16006,0.76976,0.70349,0.76038,0.52649,0.76199,0.67071,0.71454,0.41516,1.09519,1.77227,1.03372,1.23881,0.0005248,0.0005248,0.0005248
50,3610.64,1.03522,1.77558,0.98703,1.15651,0.81277,0.67897,0.75392,0.52277,0.79539,0.66368,0.71822,0.41812,1.08984,1.76636,1.04725,1.23303,0.0005149,0.0005149,0.0005149
51,3683.81,1.01522,1.74001,0.96445,1.15185,0.82083,0.70238,0.77152,0.53192,0.78345,0.6801,0.72755,0.42737,1.09771,1.78077,1.03806,1.23211,0.000505,0.000505,0.000505
52,3755.79,1.02483,1.76836,0.96267,1.14886,0.8046,0.70245,0.7706,0.5462,0.78751,0.67547,0.72176,0.41511,1.07322,1.81841,1.0432,1.22401,0.0004951,0.0004951,0.0004951
53,3827.49,1.02325,1.75185,0.95315,1.14838,0.74492,0.74978,0.77708,0.54351,0.72169,0.70387,0.73179,0.42682,1.07415,1.75631,0.98093,1.22695,0.0004852,0.0004852,0.0004852
54,3900.08,1.00489,1.72795,0.94379,1.14587,0.80295,0.66647,0.75939,0.53464,0.76819,0.65377,0.71321,0.41494,1.09377,1.72995,1.06177,1.22472,0.0004753,0.0004753,0.0004753
55,3972.79,1.01845,1.73797,0.94575,1.14116,0.8112,0.69757,0.76606,0.53663,0.78675,0.67142,0.71776,0.40705,1.08295,1.85402,1.05249,1.21494,0.0004654,0.0004654,0.0004654
56,4043.81,1.01562,1.73154,0.94178,1.1416,0.81634,0.71634,0.77882,0.55195,0.80228,0.68082,0.73967,0.44231,1.04967,1.75642,1.01023,1.21539,0.0004555,0.0004555,0.0004555
57,4115.9,0.98851,1.71346,0.92401,1.13661,0.80193,0.6867,0.76906,0.54076,0.75317,0.65849,0.69365,0.394,1.06568,1.84748,1.0406,1.21813,0.0004456,0.0004456,0.0004456
58,4188.47,1.00067,1.71872,0.92659,1.13481,0.78688,0.74336,0.78341,0.56569,0.7652,0.7117,0.73236,0.42816,1.05518,1.76073,0.97239,1.21638,0.0004357,0.0004357,0.0004357
59,4259.4,0.98307,1.69588,0.89691,1.12205,0.80888,0.74183,0.79496,0.56846,0.79251,0.72498,0.75384,0.44123,1.05332,1.7766,0.99073,1.20476,0.0004258,0.0004258,0.0004258
60,4331.58,0.96894,1.68569,0.8943,1.12095,0.7654,0.7432,0.76657,0.53592,0.74093,0.71927,0.7207,0.42301,1.03944,1.7687,1.01605,1.20899,0.0004159,0.0004159,0.0004159
61,4405.62,0.97369,1.66361,0.89361,1.12168,0.79563,0.7375,0.78985,0.56296,0.78108,0.71473,0.74638,0.43956,1.02432,1.75971,0.9981,1.1885,0.000406,0.000406,0.000406
62,4479.33,0.97002,1.67308,0.88087,1.12004,0.8059,0.71246,0.78326,0.55589,0.77559,0.69976,0.72816,0.43071,1.05862,1.81584,1.02705,1.20256,0.0003961,0.0003961,0.0003961
63,4551.95,0.98167,1.6787,0.90098,1.12187,0.7776,0.72672,0.77619,0.54426,0.8189,0.66072,0.72589,0.42724,1.06151,1.70887,1.02094,1.21128,0.0003862,0.0003862,0.0003862
64,4624.4,0.97849,1.69138,0.89682,1.12573,0.79879,0.72368,0.7741,0.53598,0.78635,0.68523,0.72627,0.42861,1.06807,1.72834,1.01004,1.22169,0.0003763,0.0003763,0.0003763
65,4698.39,0.96292,1.64635,0.8741,1.11285,0.82768,0.7005,0.78832,0.555,0.7863,0.69276,0.73513,0.43385,1.04281,1.73407,0.97597,1.20495,0.0003664,0.0003664,0.0003664
66,4772.75,0.97773,1.66402,0.85327,1.11145,0.82145,0.72009,0.77911,0.54022,0.7998,0.68732,0.73253,0.43927,1.07371,1.72647,1.0288,1.21165,0.0003565,0.0003565,0.0003565
67,4846.64,0.95728,1.62769,0.85198,1.10488,0.83901,0.6998,0.78724,0.56003,0.81282,0.68594,0.73819,0.44412,1.04151,1.76676,0.99451,1.20023,0.0003466,0.0003466,0.0003466
68,4920.54,0.95156,1.63732,0.86054,1.10726,0.81765,0.71816,0.77902,0.5496,0.78691,0.69767,0.72357,0.42749,1.03883,1.70558,1.01119,1.18903,0.0003367,0.0003367,0.0003367
69,4993.59,0.94325,1.61184,0.83318,1.10257,0.80466,0.75608,0.77486,0.55188,0.78542,0.73468,0.73833,0.4364,1.03392,1.69926,1.00982,1.20368,0.0003268,0.0003268,0.0003268
